Batch Number,Frequent Itemset,Frequency
1,12293 12870,-14702
1,13728 3962,-14701
1,11521 14240 3938,-14699
1,10947 7057,-14697
1,11521 14240 14961 5582 7057,-14695
1,11443 11521,-14694
1,10042 14240 16954 2452,-14693
1,14621 14691,-14693
1,10042 11521 14240 7230,-14689
1,11283 7057,-14670
1,13255,-14669
1,14691 16377,-14649
1,10042 16265 16954,-14647
1,10042 11521 7057 7230,-14633
1,9728,-14624
1,10042 14240 2452 7230,-14616
1,11521 14240 16377,-14615
1,11521 14240 14550 7057,-14614
1,11521 14691 14961,-14611
1,10042 11521 2452 7230,-14608
1,17157 2862,-14596
1,11521 14240 16265 7057,-14590
1,14240 16265 7057 7230,-14589
1,14240 7193,-14588
1,14691 14961 2452,-14581
1,12870 2782,-14573
1,11521 14240 2862,-14562
1,10042 2452 7057 7230,-14550
1,14240 14550 7057 7230,-14545
1,10042 11521 14240 14961,-14544
1,14621 2782,-14543
1,14691 14961 7057,-14540
1,10042 14961 7057 7230,-14535
1,14961 2782,-14535
1,11521 14240 7057 9628,-14530
1,14961 2452 9628,-14524
1,4123,-14524
1,8393,-14524
1,10947 7230,-14522
1,14240 2452 2862,-14515
1,2782 7230,-14505
1,10947 14961,-14491
1,11521 14961 5582 7057 7230,-14487
1,16954 17157,-14478
1,11521 12870 2452,-14474
1,11521 14550 2452 7057,-14473
1,17355,-14473
1,14550 3938,-14465
1,14185,-14459
1,16954 7057 7230,-14455
1,14240 7057 7230 9628,-14452
1,11521 14240 2452 5582 7057 7230,-14451
1,10042 14240 14961 2452,-14446
1,14240 2452 3938,-14440
1,14240 16954 7057,-14439
1,11283 14550 2782,-14438
1,14550 5732,-14436
1,11283 7230,-14434
1,14240 14550 2452 7057,-14433
1,11064 5732,-14426
1,10042 6974,-14421
1,10947 14691,-14413
1,14550 6971,-14407
1,14240 16377 2452,-14400
1,11521 14240 14961 5582 7230,-14397
1,11283 14961,-14394
1,11521 16265 2452 5582 9628,-14390
1,11521 2452 6974,-14389
1,14240 14961 2452 5582 7057,-14382
1,2452 5926,-14380
1,11521 14961 2452 5582 7057,-14362
1,11521 16265 2452 7057,-14358
1,14961 16265 7057 7230,-14342
1,10042 14240 14961 7057,-14335
1,11521 14240 16265 7230,-14335
1,10042 11521 14961 2452,-14332
1,12338 17627,-14332
1,12870 4306,-14328
1,10042 11089,-14325
1,14691 14961 7230,-14325
1,5614,-14324
1,11443 2452,-14320
1,11521 16265 7057 7230,-14316
1,11521 14240 16265 5582 9628,-14313
1,11521 14240 14550 7230,-14307
1,14240 16265 2452 7057,-14295
1,11521 5926,-14293
1,10947 5582,-14291
1,11443 12338,-14281
1,14961 2452 5582 7057 7230,-14281
1,14691 6974,-14274
1,11521 14240 14691 7057,-14268
1,16265 5582 7057 7230,-14267
1,11521 16954 7057,-14263
1,12870 16377,-14263
1,11521 14240 14961 16265,-14262
1,14240 14550 2452 7230,-14258
1,11089 4306,-14251
1,11089 11521 14240 2452,-14248
1,1905 9628,-14238
1,5293,-14236
1,11521 2452 7057 9628,-14231
1,14240 14961 2452 5582 7230,-14231
1,16384 16954,-14227
1,11521 14550 2452 7230,-14226
1,14550 16265 5582,-14225
1,11521 14550 7057 7230,-14224
1,798,-14220
1,5760,-14214
1,11781 14240,-14212
1,12293 5582,-14210
1,14240 14961 16954,-14210
1,14240 16954 7230,-14207
1,11521 14240 7230 9628,-14203
1,11283 9628,-14195
1,13763,-14195
1,10042 11521 14240 2452 7057,-14192
1,11521 14240 16265 2452 9628,-14192
1,14240 16265 2452 7230,-14191
1,11089 16377,-14184
1,14240 1905 7057,-14184
1,11521 14240 14550 14961,-14180
1,11521 14691 2452 7057,-14180
1,11521 16265 2452 7230,-14180
1,14240 2452 7057 9628,-14180
1,14550 14961 7057 7230,-14177
1,14550 7193,-14176
1,10042 14240 14961 7230,-14170
1,11521 7057 7230 9628,-14170
1,14240 16265 5582 7057,-14162
1,14240 14961 16265 7057,-14153
1,14550 2452 7057 7230,-14153
1,10042 11283 16954,-14143
1,571 6974,-14141
1,3860,-14137
1,14961 7057 7230 9628,-14135
1,10947 16954,-14128
1,14691 16265 5582,-14123
1,11521 14961 2452 5582 7230,-14120
1,16265 2452 7057 7230,-14119
1,12870 2862,-14116
1,2743,-14111
1,11064 11521 14240,-14109
1,1905 7057 7230,-14109
1,11521 14240 14961 9628,-14103
1,5926 6974,-14101
1,14240 14550 14961 2452,-14098
1,13728 2862,-14080
1,10042 11521 16265,-14067
1,14240 14691 2452 7057,-14064
1,5582 7057 7230 9628,-14061
1,11521 12338,-14060
1,14550 5582 9628,-14059
1,14240 14961 16265 2452,-14057
1,8915,-14055
1,14240 14691 7057 7230,-14051
1,11521 1905 7057,-14049
1,11064 14240 2452,-14047
1,14240 5582 7057 9628,-14046
1,16954 2452 7057,-14045
1,12293 17157,-14032
1,14691 5926,-14028
1,13402,-14023
1,14240 14550 14961 7057,-14023
1,11064 14454,-14019
1,14240 16265 2452 5582 9628,-14019
1,14240 14961 7057 9628,-14017
1,10042 16265 2452,-14014
1,4545,-14011
1,11521 14240 14691 7230,-14010
1,11521 12870 14240,-14005
1,16265 7057 9628,-14002
1,10042 11521 14240 7057 7230,-14000
1,11521 14691 2452 7230,-13997
1,10042 11521 14961 7057,-13992
1,14240 2452 7230 9628,-13990
1,14240 16265 5582 7230,-13987
1,10042 11521 14240 2452 7230,-13984
1,11077,-13983
1,11521 14240 14961 5582 7057 7230,-13983
1,11521 2452 7230 9628,-13982
1,10042 14240 16265,-13980
1,15070,-13978
1,17328,-13978
1,14240 1905 7230,-13976
1,14240 14961 16265 7230,-13968
1,16707,-13965
1,11521 14961 16265 2452,-13960
1,11283 14313,-13958
1,12870 14240 2452,-13958
1,14240 14961 1905,-13953
1,11521 14550 14961 2452,-13950
1,14240 14691 2452 7230,-13943
1,2862 3962,-13942
1,10042 11521 14240 16954 2452,-13941
1,14240 14961 16265 5582,-13941
1,16954 2452 7230,-13941
1,11521 16954 7230,-13934
1,11521 14240 14961 2452 5582 7057,-13929
1,11521 16265 5582 7057,-13921
1,2452 7057 7230 9628,-13919
1,10042 11521 2452 5582,-13917
1,2782 9628,-13916
1,11283 14550 4306,-13914
1,11521 14691 7057 7230,-13912
2,11521,-57817
2,11283,-57219
2,14550,-57006
2,2452,-56766
2,16377,-55827
2,14240,-55516
2,1905,-49529
2,3962,-47698
2,11521 2452,-46664
2,4306,-44910
2,16954,-44648
2,11521 14240,-44155
2,10042,-43525
2,14240 2452,-43120
2,2782,-42651
2,14691,-42335
2,11064,-42200
2,13728,-41597
2,12293,-41205
2,10947,-40242
2,14621,-39992
2,11521 14240 2452,-39582
2,17157,-39420
2,6287,-39092
2,3938,-38999
2,2862,-37455
2,5582,-37130
2,11089,-37007
2,14313,-36611
2,12870,-36276
2,6974,-35441
2,7057,-34891
2,14961,-34725
2,7230,-34666
2,571,-34534
2,14103,-33901
2,16265,-33460
2,15124,-32763
2,9628,-32632
2,7057 7230,-30940
2,5926,-30924
2,14240 7057,-30333
2,14240 14961,-30062
2,14240 7230,-29967
2,11521 7057,-29659
2,14961 7057,-29506
2,2452 7057,-29188
2,2452 7230,-29159
2,11521 7230,-29078
2,14961 7230,-29046
2,8904,-28884
2,11521 14961,-28772
2,14961 2452,-28491
2,6971,-28249
2,10042 16954,-28222
2,16265 5582,-28005
2,16384,-27717
2,14240 7057 7230,-27713
2,11283 14550,-27676
2,11521 14240 7057,-27675
2,886,-27547
2,7193,-27530
2,5582 9628,-27431
2,11521 2452 7057,-27282
2,14961 7057 7230,-27227
2,11521 14240 7230,-27183
2,14240 2452 7057,-27183
2,11607,-27059
2,1220,-26988
2,11521 7057 7230,-26983
2,14240 2452 7230,-26949
2,11521 14240 14961,-26897
2,11521 2452 7230,-26869
2,5732,-26817
2,6037,-26761
2,4640,-26742
2,2452 7057 7230,-26681
2,14454,-26646
2,14240 14961 7057,-26559
2,14240 14961 2452,-26547
2,3624,-26451
2,11812,-26377
2,11521 14961 2452,-26329
2,14240 14961 7230,-26120
2,11283 16377,-26084
2,11781,-26070
2,11521 14240 2452 7057,-25941
2,15107,-25786
2,11521 14961 7057,-25687
2,17627,-25632
2,11521 14240 7057 7230,-25545
2,11521 14240 2452 7230,-25544
2,7234,-25532
2,7624,-25493
2,5862,-25441
2,14961 2452 7057,-25315
2,14240 2452 7057 7230,-25166
2,11521 2452 7057 7230,-25164
2,17169,-25152
2,12317,-25133
2,11521 14240 14961 2452,-25106
2,11521 14961 7230,-25101
2,16879,-25084
2,14961 2452 7230,-24971
2,16265 9628,-24956
2,11443,-24838
2,14240 14961 7057 7230,-24821
2,11521 1905,-24768
2,7617,-24717
2,8327,-24682
2,14691 2452,-24543
2,1905 2452,-24519
2,3290,-24473
2,11521 14240 14961 7057,-24450
2,11521 14691,-24420
2,12338,-24362
2,14550 2452,-24326
2,14550 16377,-24292
2,6972,-24283
2,11089 3962,-24233
2,12155,-24192
2,14358,-24160
2,11521 14240 2452 7057 7230,-24117
2,11521 14550,-24112
2,10042 2452,-24060
2,10042 11521,-24040
2,14240 14961 2452 7057,-24005
2,11521 14961 7057 7230,-23999
2,11521 14240 14961 7230,-23895
2,11521 14961 2452 7057,-23869
2,8596,-23789
2,14961 2452 7057 7230,-23723
2,14240 14550,-23720
2,14240 14961 2452 7230,-23679
2,457,-23629
2,14240 1905,-23549
2,11521 5582,-23537
2,14240 5582,-23528
2,10042 14240,-23483
2,11521 14961 2452 7230,-23369
2,6029,-23341
2,2452 5582,-23286
2,14621 3962,-23207
2,16265 5582 9628,-23178
2,16668,-23071
